"","R.Condition","R.FileName","R.ProteinGroupsIdentified","R.Replicate","PG.FastaFiles","PG.Genes","PG.Organisms","PG.ProteinAccessions","PG.ProteinDescriptions","PG.ProteinNames","PG.Coverage","PG.Cscore..Run.Wise.","PG.IsSingleHit","PG.NrOfStrippedSequencesIdentified","PG.PEP..Run.Wise.","PG.QValue..Run.Wise.","PG.RunEvidenceCount","PG.MS1Quantity","PG.MS2Quantity","PG.Quantity"
"1","ABC","20250917_jlb_PAcer_CERES_ABChumPlasma1_300ng_60min_DIApasef_Wat25cmBEH_1",4686,1,"jcl20250102_HomoSapiens_UniProtRefProteome_83401entries_UP000005640","DNAJC25-GNG10;GNG10","Homo sapiens","A0A024R161;P50151","Guanine nucleotide-binding protein subunit gamma;Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-10","A0A024R161_HUMAN;GBG10_HUMAN","9.8%;22.1%",41.33399,"True",1,1.10264800241566e-05,3.70082353538957e-08,1,886.463439941406,1289.65942382812,886.463439941406
"2","ABC","20250917_jlb_PAcer_CERES_ABChumPlasma1_300ng_60min_DIApasef_Wat25cmBEH_1",4686,1,"jcl20250102_HomoSapiens_UniProtRefProteome_83401entries_UP000005640","HDLBP","Homo sapiens","A0A024R4E5;Q00341","High density lipoprotein binding protein;Vigilin","A0A024R4E5_HUMAN;VIGLN_HUMAN","30.9%;30.9%",46.576836,"False",31,1.32682065334677e-09,1.00464140800993e-14,37,752.80419921875,234.125030517578,752.80419921875
"3","ABC","20250917_jlb_PAcer_CERES_ABChumPlasma1_300ng_60min_DIApasef_Wat25cmBEH_1",4686,1,"jcl20250102_HomoSapiens_UniProtRefProteome_83401entries_UP000005640","EHD1","Homo sapiens","A0A024R571;Q9H4M9","EH domain containing 1;EH domain-containing protein 1","A0A024R571_HUMAN;EHD1_HUMAN","67.9%;69.7%",50.032326,"False",30,3.81961416705615e-13,5.59046709875292e-21,62,3597.630859375,2212.81787109375,3597.630859375
"4","ABC","20250917_jlb_PAcer_CERES_ABChumPlasma1_300ng_60min_DIApasef_Wat25cmBEH_1",4686,1,"jcl20250102_HomoSapiens_UniProtRefProteome_83401entries_UP000005640","SERPINA1","Homo sapiens","A0A024R6N5","Serpin family A member 1","A0A024R6N5_HUMAN","6.9%",38.895607,"False",3,0.000187607874977402,2.49501697763889e-06,6,15163.138671875,3491.49682617188,15163.138671875
"5","ABC","20250917_jlb_PAcer_CERES_ABChumPlasma1_300ng_60min_DIApasef_Wat25cmBEH_1",4686,1,"jcl20250102_HomoSapiens_UniProtRefProteome_83401entries_UP000005640","PSMA2","Homo sapiens","A0A024RA52;P25787","Proteasome subunit alpha type;Proteasome subunit alpha type-2","A0A024RA52_HUMAN;PSA2_HUMAN","45.7%;45.7%",48.820644,"False",7,8.4973330455318e-12,1.2876698526339e-18,11,544.951843261719,128.016372680664,544.951843261719
"6","ABC","20250917_jlb_PAcer_CERES_ABChumPlasma1_300ng_60min_DIApasef_Wat25cmBEH_1",4686,1,"jcl20250102_HomoSapiens_UniProtRefProteome_83401entries_UP000005640","SEPTIN7","Homo sapiens","A0A024RA87","Septin","A0A024RA87_HUMAN","2.3%",25.963842,"True",1,0.0444379858672619,0.001508893370435,1,802.401611328125,262.292846679688,802.401611328125
"7","ABC","20250917_jlb_PAcer_CERES_ABChumPlasma1_300ng_60min_DIApasef_Wat25cmBEH_1",4686,1,"jcl20250102_HomoSapiens_UniProtRefProteome_83401entries_UP000005640","NUDT4B;NUDT4","Homo sapiens","A0A024RBG1;Q9NZJ9","Diphosphoinositol polyphosphate phosphohydrolase NUDT4B;Diphosphoinositol polyphosphate phosphohydrolase 2","NUD4B_HUMAN;NUDT4_HUMAN","7.7%;7.8%",39.164948,"True",1,0.000143606477649882,1.70637493309455e-06,2,505.108093261719,162.491561889648,505.108093261719
"8","ABC","20250917_jlb_PAcer_CERES_ABChumPlasma1_300ng_60min_DIApasef_Wat25cmBEH_1",4686,1,"jcl20250102_HomoSapiens_UniProtRefProteome_83401entries_UP000005640","SLC22A18","Homo sapiens","A0A024RCG2;A0A0J9YWM3;E9PRM7;Q96BI1","Solute carrier family 22 (Organic cation transporter), member 18, isoform CRA_a;Solute carrier family 22 member 18;Solute carrier family 22 member 18;Solute carrier family 22 member 18","A0A024RCG2_HUMAN;A0A0J9YWM3_HUMAN;E9PRM7_HUMAN;S22AI_HUMAN","5.7%;7.4%;7.4%;5.7%",19.848135,"False",2,0.131355211138725,0.00585216065963054,2,221.373519897461,138.777496337891,221.373519897461
"9","ABC","20250917_jlb_PAcer_CERES_ABChumPlasma1_300ng_60min_DIApasef_Wat25cmBEH_1",4686,1,"jcl20250102_HomoSapiens_UniProtRefProteome_83401entries_UP000005640","BAG6","Homo sapiens","A0A024RCM4;A0A0G2JK23;A0A7I2V508;A0A7P0MQS5;P46379","Large proline-rich protein BAG6","A0A024RCM4_HUMAN;A0A0G2JK23_HUMAN;A0A7I2V508_HUMAN;A0A7P0MQS5_HUMAN;BAG6_HUMAN","25.7%;25.5%;24.6%;26.3%;25.5%",56.29886,"False",21,9.85041004654741e-21,4.45443171314442e-34,38,1524.95104980469,509.371917724609,1524.95104980469
"10","ABC","20250917_jlb_PAcer_CERES_ABChumPlasma1_300ng_60min_DIApasef_Wat25cmBEH_1",4686,1,"jcl20250102_HomoSapiens_UniProtRefProteome_83401entries_UP000005640","ATP11C","Homo sapiens","A0A067XG54;A0A804HIW2;Q8NB49","Phospholipid-transporting ATPase;Phospholipid-transporting ATPase;Phospholipid-transporting ATPase IG","A0A067XG54_HUMAN;A0A804HIW2_HUMAN;AT11C_HUMAN","6.6%;6.5%;6.4%",42.08208,"False",5,3.84964459954062e-06,7.09328572769843e-09,5,167.661361694336,72.5478897094727,167.661361694336
"11","ABC","20250917_jlb_PAcer_CERES_ABChumPlasma1_300ng_60min_DIApasef_Wat25cmBEH_1",4686,1,"jcl20250102_HomoSapiens_UniProtRefProteome_83401entries_UP000005640","TJAP1","Homo sapiens","A0A075B6G8;E2QRK7;Q5JTD0","Tight junction associated protein 1 (Fragment);Tight junction associated protein 1 (Fragment);Tight junction-associated protein 1","A0A075B6G8_HUMAN;E2QRK7_HUMAN;TJAP1_HUMAN","10%;5.2%;1.8%",30.261885,"True",1,0.0114815682172775,0.00052103072935544,1,273.293487548828,92.8661651611328,273.293487548828
"12","ABC","20250917_jlb_PAcer_CERES_ABChumPlasma1_300ng_60min_DIApasef_Wat25cmBEH_1",4686,1,"jcl20250102_HomoSapiens_UniProtRefProteome_83401entries_UP000005640","IGKV3-7","Homo sapiens","A0A075B6H7","Probable non-functional immunoglobulin kappa variable 3-7","KV37_HUMAN","15.5%",27.630703,"True",1,0.0261728409677744,0.000940775974498427,1,105.980255126953,57.0506172180176,105.980255126953
"13","ABC","20250917_jlb_PAcer_CERES_ABChumPlasma1_300ng_60min_DIApasef_Wat25cmBEH_1",4686,1,"jcl20250102_HomoSapiens_UniProtRefProteome_83401entries_UP000005640","IGLV8-61","Homo sapiens","A0A075B6I0","Immunoglobulin lambda variable 8-61","LV861_HUMAN","14.8%",30.055923,"False",2,0.0122352559119463,0.000545084891398793,2,535.869934082031,282.447875976562,535.869934082031
"14","ABC","20250917_jlb_PAcer_CERES_ABChumPlasma1_300ng_60min_DIApasef_Wat25cmBEH_1",4686,1,"jcl20250102_HomoSapiens_UniProtRefProteome_83401entries_UP000005640","IGLV1-50","Homo sapiens","A0A075B6I6","Probable non-functional immunoglobulin lambda variable 1-50","LV150_HUMAN","10.2%",10.828399,"True",1,0.522522151470184,0.0183412043843764,1,519.803405761719,153.545837402344,519.803405761719
